Company name,YF Counter
ADvTECH Limited,ADH.JO
AVI Ltd,AVI.JO
Absa Bank Limited,ABSP.JO
Absa Group Limited,ABG.JO
Adcock Ingram Holdings Ltd,AIP.JO
Adcorp Holdings Ltd,ADR.JO
Aeci Ltd,AFE.JO
African Rainbow Capital Investments Limited,AIL.JO
African Rainbow Minerals Ltd,ARI.JO
Afrimat Limited,AFT.JO
Alexander Forbes Group Holdings Ltd,AFH.JO
Allied Electronics Corp Ltd,
Alviva Holdings Limited,AVV.JO
Anglo American PLC (SA),AGL.JO
Anglo American Platinum Ltd,AMS.JO
AngloGold Ashanti Ltd (SA),ANG.JO
Anheuser-Busch InBev SA NV,ANH.JO
ArcelorMittal South Africa Ltd,ACL.JO
Argent Industrial Ltd,ART.JO
Arrowhead Properties Limited,AHB.JO
Ascendis Health Ltd,ASC.JO
Aspen Pharmacare Holdings Ltd,APN.JO
Astral Foods Ltd,ARL.JO
Attacq Ltd,ATT.JO
Aveng Ltd,AEG.JO
BHP Group PLC (SA),BHP.JO
Barloworld Ltd,BAW.JO
Basil Read Holdings Ltd,
Bell Equipment Ltd,BEL.JO
Bid Corporation Limited,BID.JO
Bidvest Group Ltd,BVT.JO
Blue Label Telecoms Limited,BLU.JO
Brait SE (SA),BAT.JO
British American Tobacco PLC (SA),BTI.JO
Bytes Technology Group PLC (SA),BYI.JO
Calgro M3 Holdings Limited,CGR.JO
Capital & Counties Properties PLC (SA),CCO.JO
Capitec Bank Holdings Ltd,CPI.JO
Cashbuild Limited,CSB.JO
Caxton and CTP Publishers and Printers Limited,CAT.JO
Choppies Enterprises Ltd,CHP.JO
Cie Financiere Richemont (SA),CFR.JO
Cie Financiere Richemont SA (Warrants),
City Lodge Hotels Ltd,CLH.JO
Clicks Group Ltd,CLS.JO
Comair Ltd,
Consolidated Infrastructure Group Ltd,
Coronation Fund Managers Ltd,CML.JO
Curro Holdings Ltd,COH.JO
DRDGOLD Ltd (SA),DRD.JO
DataTec Ltd (SA),DTC.JO
Delta Property Fund Limited,DLT.JO
Dis-Chem Pharmacies Limited,DCP.JO
Discovery Ltd,DSY.JO
Distell Group Holdings Limited,DGH.JO
EOH Holdings Ltd,EOH.JO
EPP NV,EPP.JO
Efora Energy Limited,
Ellies Holdings Ltd,ELI.JO
Emira Property Fund,EMI.JO
Equites Property Fund Limited,EQU.JO
Exxaro Resources Ltd,EXX.JO
Famous Brands Ltd,FBR.JO
FirstRand Ltd,FSR.JO
Fortress REIT Limited - A,FFA.JO
Fortress REIT Limited - B,FFB.JO
Foschini Group Ltd,TFG.JO
Gemfields Group Limited,GML.JO
Gemgrow Properties Limited,
Gold Fields Ltd,GFI.JO
Grand Parade Investments Ltd,GPL.JO
Grindrod Ltd,GND.JO
Grindrod Shipping Holdings Limited,GSH.JO
Growthpoint Properties Ltd,GRT.JO
Hammerson PLC - JSE,HMN.JO
Harmony Gold Mining Co Ltd,HAR.JO
Hosken Consolidated Investments Ltd,HCI.JO
Hospitality Property Fund Limited,
Hudaco Industries Ltd,HDC.JO
Hulamin Ltd,HLM.JO
Hyprop Investments Ltd,HYP.JO
Impala Platinum Holdings Ltd,IMP.JO
Imperial Holdings Ltd,
Industrials REIT Limited,MLI.JO
Investec Ltd,INL.JO
Investec PLC (SA),INPP.JO
Investec Property Fund Limited,IPF.JO
Invicta Holdings Ltd,IVT.JO
Italtile Limited,ITE.JO
JSE Ltd,JSE.JO
KAP Industrial Holdings Ltd,KAP.JO
Kumba Iron Ore Ltd,KIO.JO
Lewis Group Ltd,LEW.JO
Liberty Holdings Ltd,LBH.JO
Liberty Two Degrees Limited,L2D.JO
Libstar Holdings Limited,LBR.JO
Life Healthcare Group Holdings Ltd,LHC.JO
Lighthouse Capital Ltd,LTE.JO
Long4Life Ltd,L4L.JO
MAS Real Estate Inc,MSP.JO
MC Mining Limited (SA),MCZ.JO
MMI Holdings Ltd,
MTN Group Ltd,MTN.JO
Massmart Holdings Ltd,MSM.JO
Master Drilling Group Limited,MDI.JO
Mediclinic International PLC (SA),MEI.JO
Merafe Resources Ltd,MRF.JO
Metair Investments Limited,MTA.JO
Mondi PLC,MNP.JO
Montauk Renewables Inc,MKR.JO
Motus Holdings Ltd,MTH.JO
Mpact Ltd,MPT.JO
Mr Price Group Ltd,MRP.JO
MultiChoice Group Ltd,MCG.JO
Murray & Roberts Holdings Ltd,MUR.JO
NEPI Rockcastle PLC,NRP.JO
NVest Financial Holdings Limited,NVE.JO
Nampak Ltd,NPK.JO
Naspers Ltd,NPN.JO
Nedbank Group Ltd,NED.JO
Netcare Ltd,NTC.JO
Ninety One Group,NY1.JO
Northam Platinum Ltd,NPH.JO
Novus Holdings Limited,NVS.JO
Oceana Group Ltd,OCE.JO
Octodec Investments Limited,OCT.JO
Old Mutual Limited,OMU.JO
Omnia Holdings Ltd,OMN.JO
PPC Ltd,PPC.JO
PSG Group Ltd,PSG.JO
PSG Konsult Limited,KST.JO
Pan African Resources PLC (SA),PAN.JO
Pepkor Holdings Ltd,PPH.JO
Pick n Pay Stores Ltd,PIK.JO
Prosus NV (JSE),PRX.JO
Quantum Foods Holdings,QFH.JO
Quilter Plc (SA),QLT.JO
RCL Foods Ltd,RCL.JO
RDI REIT PLC (ZA),
RMB Holdings Ltd,RMH.JO
Rand Merchant Insurance Holdings Limited,
Raubex Group Ltd,RBX.JO
Rebosis Property Fund Limited,REB.JO
Redefine Properties Ltd,RDF.JO
Reinet Investments SCA,RNI.JO
Remgro Ltd,REM.JO
Resilient Property Income Fund Ltd,RES.JO
Reunert Ltd,RLO.JO
Rhodes Food Group Pty Ltd,
Royal Bafokeng Platinum Limited,RBP.JO
SA Corporate Real Estate Limited,SAC.JO
Sanlam Ltd,SLM.JO
Sappi Ltd,SAP.JO
Sasfin Holdings Limited,SFN.JO
Sasol Ltd,SOL.JO
Schroder European Real Estate Investment Trust PLC (ZA),SCD.JO
Shoprite Holdings Ltd,SHP.JO
Sibanye Stillwater Ltd,SSW.JO
Sirius Real Estate Ltd (ZA),SRE.JO
South32 Ltd (SA),S32.JO
Spar Group Ltd,SPP.JO
Spear Reit Limited,SEA.JO
Spur Corp Ltd,SUR.JO
Stadio Holdings Limited,SDO.JO
Standard Bank Group Ltd,SBK.JO
Stefanutti Stocks Holdings Ltd,SSK.JO
Steinhoff International Holdings N.V.,SNH.JO
Stor-Age Property REIT Limited,SSS.JO
Sun International Ltd,SUI.JO
Super Group Ltd (SA),SPG.JO
Telkom SA SOC Ltd,TKG.JO
Textainer Group Holdings Limited,TXT.JO
Tharisa PLC (JSE),THA.JO
Thungela Resources Limited (SA),TGA.JO
Tiger Brands Ltd,TBS.JO
Tiso Blackstar Group SE (SA),
Tongaat Hulett Ltd,TON.JO
Tower Property Fund Limited,TWR.JO
Transaction Capital Limited,TCP.JO
Trencor Ltd,TRE.JO
Truworths International Ltd,TRU.JO
Tsogo Sun Gaming Limited,TSG.JO
Tsogo Sun Hotels Limited,TGO.JO
Unicorn Capital Partners Limited,
Vodacom Group Ltd,VOD.JO
Vukile Property Fund Limited,VKE.JO
Wescoal Holdings Limited,WSL.JO
Wesizwe,WEZ.JO
Wilson Bayly Holmes-Ovcon Ltd,WBO.JO
Woolworths Holdings Ltd,WHL.JO
Zarclear Holdings Inc,ZCL.JO
Zeder Investments Ltd,ZED.JO
enX Group Limited,ENX.JO